date,adj_close
2010-02-19,8659399.1787
2010-02-26,8671604.1106
2010-03-05,7763557.1777
2010-03-12,7302210.7521
2010-03-19,7213114.7492
2010-03-26,6959252.1659
2010-04-01,6890904.5473
2010-04-09,6532079.5496
2010-04-16,6302626.83
2010-04-23,5951124.7914
2010-04-30,6377076.9145
2010-05-07,7922233.4972
2010-05-14,7073978.5257
2010-05-21,8107736.2571
2010-05-28,7551191.3627
2010-06-04,7703753.0114
2010-06-11,7451110.9212
2010-06-18,6662672.3208
2010-06-25,7438905.9893
2010-07-02,8923025.7076
2010-07-09,7634184.8996
2010-07-16,7700091.5318
2010-07-23,6856498.8442
2010-07-30,6954370.1931
2010-08-06,6517433.6313
2010-08-13,7416937.1119
2010-08-20,7307092.7248
2010-08-27,7656153.777
2010-09-03,6700507.6097
2010-09-10,6444204.0399
2010-09-17,5820532.0202
2010-09-24,5254223.1803
2010-10-01,5429974.1996
2010-10-08,5159024.7115
2010-10-15,4643976.5856
2010-10-22,4592715.8716
2010-10-29,4448697.6753
2010-11-05,4080108.7321
2010-11-12,4346176.2474
2010-11-19,4338853.2883
2010-11-26,4247316.2991
2010-12-03,3970264.3451
2010-12-10,3831128.1215
2010-12-17,3801836.2849
2010-12-23,3753016.5574
2010-12-31,3805497.7645
2011-01-07,3516240.8786
2011-01-14,3309977.5296
2011-01-21,3545532.7152
2011-01-28,3513799.8922
2011-02-04,3211117.5813
2011-02-11,3039028.0416
2011-02-18,2985326.3412
2011-02-25,3135447.0035
2011-03-04,3071981.3577
2011-03-11,3313639.0092
2011-03-18,3655377.1022
2011-03-25,3205015.1153
2011-04-01,3096391.2215
2011-04-08,3179384.7583
2011-04-15,3228204.4859
2011-04-21,2940168.0932
2011-04-29,2824221.2402
2011-05-06,2913317.2431
2011-05-13,2913439.2924
2011-05-20,3001192.7527
2011-05-27,3052453.4666
2011-06-03,3208676.5949
2011-06-10,3516240.8786
2011-06-17,3645613.1567
2011-06-24,3508917.9195
2011-07-01,2886466.3929
2011-07-08,2722920.3055
2011-07-15,2875481.9542
2011-07-22,2616737.398
2011-07-29,2826662.2266
2011-08-05,3472303.1238
2011-08-12,3322182.4615
2011-08-19,4001997.168
2011-08-26,3291670.1318
2011-09-02,3226983.9927
2011-09-09,3219661.0336
2011-09-16,2647249.7278
2011-09-23,2987767.3276
2011-09-30,3251637.9552
2011-10-07,2943829.5728
2011-10-14,2336023.9645
2011-10-21,2431222.4332
2011-10-28,2209092.6728
2011-11-04,2321378.0462
2011-11-11,2289645.2233
2011-11-18,2588666.0547
2011-11-25,2959695.9843
2011-12-02,2368977.2806
2011-12-09,2310393.6075
2011-12-16,2566697.1773
2011-12-23,2377520.7329
2011-12-30,2403151.0899
2012-01-06,2159052.452
2012-01-13,2113894.204
2012-01-20,1945466.1439
2012-01-27,1884441.4844
2012-02-03,1735541.3153
2012-02-10,1696485.5332
2012-02-17,1617153.4759
2012-02-24,1575656.7075
2012-03-02,1508529.5821
2012-03-09,1495104.157
2012-03-16,1384039.2768
2012-03-23,1355967.9334
2012-03-30,1316912.1513
2012-04-05,1303486.7263
2012-04-13,1390141.7427
2012-04-20,1418213.0861
2012-04-27,1313250.6718
2012-05-04,1464591.8273
2012-05-11,1501511.7462
2012-05-18,1752323.0967
2012-05-25,1644309.4494
2012-06-01,1773986.8508
2012-06-08,1562231.2824
2012-06-15,1533854.8158
2012-06-22,1502121.9928
2012-06-29,1431638.5111
2012-07-06,1431638.5111
2012-07-13,1478932.6222
2012-07-20,1411500.3735
2012-07-27,1361765.2761
2012-08-03,1314471.165
2012-08-10,1239410.8338
2012-08-17,1160689.0231
2012-08-24,1161909.5163
2012-08-31,1167096.6123
2012-09-07,1099054.117
2012-09-14,1060303.4583
2012-09-21,1052675.3758
2012-09-28,1122243.4876
2012-10-05,1101800.2267
2012-10-12,1217441.9564
2012-10-19,1265651.4374
2012-10-26,1281517.8489
2012-11-02,1292197.1643
2012-11-09,1391362.2359
2012-11-16,1469778.9233
2012-11-23,1289756.1779
2012-11-30,1234833.9844
2012-12-07,1284263.9585
2012-12-14,1294943.2739
2012-12-21,1239715.9571
2012-12-28,1322404.3707
2013-01-04,1147568.7213
2013-01-11,1116141.0217
2013-01-18,1124684.474
2013-01-25,1126515.2138
2013-02-01,1092646.5278
2013-02-08,1072477.8778
2013-02-15,1083492.8289
2013-02-22,1110343.679
2013-03-01,1093256.7744
2013-03-08,1027960.3888
2013-03-15,1032537.2382
2013-03-22,1027960.3888
2013-03-28,1009958.1142
2013-04-05,1057862.4719
2013-04-12,962358.8798
2013-04-19,1033147.4848
2013-04-26,969071.5924
2013-05-03,868075.7809
2013-05-10,833596.8483
2013-05-17,791794.9566
2013-05-24,820476.5466
2013-05-31,827494.3824
2013-06-07,818340.6835
2013-06-14,853124.7394
2013-06-21,907741.8096
2013-06-28,878144.8498
2013-07-05,829630.2455
2013-07-12,740229.1194
2013-07-19,759757.0104
2013-07-26,736262.5165
2013-08-02,690188.8986
2013-08-09,702393.8305
2013-08-16,730465.1738
