date,split_adj_close,adj_close,factor
1999-11-12,72.187500,60.914900,0.8438427706
1999-11-19,75.781250,63.952300,0.8439066392
1999-11-26,77.687500,65.555300,0.8438333065
1999-12-03,79.125000,66.778600,0.8439633491
1999-12-10,79.906250,67.411400,0.8436311302
1999-12-17,83.781250,70.685000,0.8436851921
1999-12-23,90.218750,76.101500,0.8435219952
1999-12-31,91.375000,77.113900,0.8439277702
2000-01-07,90.000000,75.932800,0.8436977778
2000-01-14,93.375000,78.801300,0.8439228916
2000-01-21,96.250000,81.205900,0.8436976623
2000-01-28,86.000000,72.558000,0.8436976744
2000-02-04,97.156250,81.965200,0.8436431007
2000-02-11,99.875000,84.285400,0.8439088861
2000-02-18,98.437500,83.062000,0.8438044444
2000-02-25,104.062500,87.786700,0.8435959159
2000-03-03,111.062500,93.692600,0.8436024761
2000-03-10,114.500000,96.603300,0.8436969432
2000-03-17,110.812500,93.481700,0.8436024817
2000-03-24,117.562500,99.185000,0.8436788942
2000-03-31,109.500000,92.384800,0.8436968037
2000-04-07,106.625000,89.938100,0.8434991794
2000-04-14,80.375000,67.816400,0.8437499222
2000-04-20,87.250000,73.612600,0.8436974212
2000-04-28,94.750000,79.940300,0.8436970976
2000-05-05,91.437500,77.147700,0.8437205742
2000-05-12,84.625000,71.402100,0.8437471196
2000-05-19,81.687500,68.921600,0.8437227238
2000-05-26,77.750000,65.597500,0.8436977492
2000-06-02,93.625000,78.995400,0.8437425901
2000-06-09,93.750000,79.096600,0.8436970667
2000-06-16,94.250000,79.518500,0.8436976127
2000-06-23,91.500000,77.198300,0.8436972678
2000-06-30,93.437500,78.835100,0.8437201338
2000-07-07,95.937500,80.944300,0.8437190879
2000-07-14,100.625000,84.875900,0.8434872050
2000-07-21,97.000000,81.838600,0.8436969072
2000-07-28,86.875000,73.300400,0.8437456115
2000-08-04,90.125000,76.042400,0.8437436893
2000-08-11,91.062500,76.827100,0.8436743995
2000-08-18,95.250000,80.362200,0.8436976378
2000-08-25,98.031250,82.707600,0.8436860695
2000-09-01,102.625000,86.563300,0.8434913520
2000-09-08,95.125000,80.260900,0.8437413929
2000-09-15,91.312500,76.987400,0.8431200548
2000-09-22,92.937500,78.413200,0.8437197041
2000-09-29,88.750000,74.878100,0.8436969014
2000-10-06,83.000000,70.026900,0.8436975904
2000-10-13,81.250000,68.550400,0.8436972308
2000-10-20,86.312500,72.819500,0.8436727009
2000-10-27,79.718750,67.259500,0.8437099177
2000-11-03,83.062500,70.077500,0.8436719338
2000-11-10,71.750000,60.535300,0.8436975610
2000-11-17,72.828120,61.446500,0.8437194315
2000-11-24,70.437500,59.430000,0.8437267081
2000-12-01,64.000000,53.996600,0.8436968750
2000-12-08,68.000000,57.371400,0.8436970588
2000-12-15,63.875000,53.895400,0.8437636008
2000-12-22,60.500000,51.043700,0.8436975207
2000-12-29,58.375000,49.255000,0.8437687366
2001-01-05,56.625000,47.778600,0.8437721854
2001-01-12,62.734380,52.925100,0.8436378904
2001-01-19,66.312500,55.945600,0.8436659755
2001-01-26,65.546880,55.304400,0.8437381001
2001-02-02,61.550000,51.929600,0.8436978067
2001-02-09,56.400000,47.584500,0.8436968085
2001-02-16,55.130000,46.513000,0.8436967169
2001-02-23,51.180000,43.180400,0.8436967565
2001-03-02,46.700000,39.400700,0.8436980728
2001-03-09,45.099998,38.050700,0.8436962680
2001-03-16,41.200000,34.760300,0.8436966019
2001-03-23,42.800000,36.110200,0.8436962617
2001-03-30,39.150000,33.030700,0.8436960409
2001-04-06,35.950000,30.626200,0.8519109875
2001-04-12,42.800000,36.110200,0.8436962617
2001-04-20,48.400000,40.834900,0.8436962810
2001-04-27,45.150000,38.092900,0.8436965670
2001-05-04,48.200000,40.666200,0.8436970954
2001-05-11,45.550000,38.430400,0.8436970362
2001-05-18,48.040001,40.531200,0.8436969017
2001-05-25,48.990000,41.332700,0.8436966728
2001-06-01,46.049999,38.852300,0.8436981725
2001-06-08,47.350000,39.949100,0.8436979937
2001-06-15,42.600000,35.941500,0.8436971831
2001-06-22,43.250000,36.489900,0.8436971098
2001-06-29,45.700000,38.557000,0.8436980306
2001-07-06,41.650000,35.140000,0.8436974790
2001-07-13,43.150000,36.405500,0.8436964079
2001-07-20,41.650000,35.140000,0.8436974790
2001-07-27,41.950000,35.393100,0.8436972586
2001-08-03,43.180000,36.430800,0.8436961556
2001-08-10,40.280000,33.984100,0.8436966236
