date,close
2010-02-11,0.216276
2010-02-12,0.217161
2010-02-16,0.225573
2010-02-17,0.22940101
2010-02-18,0.23375
2010-02-19,0.23375
2010-02-22,0.232109
2010-02-23,0.223047
2010-02-24,0.229792
2010-02-25,0.229661
2010-02-26,0.232526
2010-03-01,0.24250001
2010-03-02,0.243958
2010-03-03,0.245313
2010-03-04,0.24802101
2010-03-05,0.258984
2010-03-08,0.26036501
2010-03-09,0.264974
2010-03-10,0.271458
2010-03-11,0.273958
2010-03-12,0.27458301
2010-03-15,0.27273399
2010-03-16,0.27789101
2010-03-17,0.279818
2010-03-18,0.28265601
2010-03-19,0.27765599
2010-03-22,0.28515601
2010-03-23,0.29111999
2010-03-24,0.28697899
2010-03-25,0.285182
2010-03-26,0.28666699
2010-03-29,0.29059899
2010-03-30,0.29364601
2010-03-31,0.28968799
2010-04-01,0.28911501
2010-04-05,0.297474
2010-04-06,0.29973999
2010-04-07,0.29804701
2010-04-08,0.299115
2010-04-09,0.30450499
2010-04-12,0.305729
2010-04-13,0.310339
2010-04-14,0.32127601
2010-04-15,0.325573
2010-04-16,0.31398401
2010-04-19,0.31349
2010-04-20,0.31812501
2010-04-21,0.323724
2010-04-22,0.32851601
2010-04-23,0.332865
2010-04-26,0.33039099
2010-04-27,0.31
2010-04-28,0.310729
2010-04-29,0.32658899
2010-04-30,0.30734399
2010-05-03,0.31989601
2010-05-04,0.29161501
2010-05-05,0.286823
2010-05-06,0.258724
2010-05-07,0.239896
2010-05-10,0.275677
2010-05-11,0.27549499
2010-05-12,0.29033899
2010-05-13,0.27721399
2010-05-14,0.26015601
2010-05-17,0.26367199
2010-05-18,0.25359401
2010-05-19,0.24690101
2010-05-20,0.221927
2010-05-21,0.223646
2010-05-24,0.225495
2010-05-25,0.223906
2010-05-26,0.216979
2010-05-27,0.24046899
2010-05-28,0.23710901
2010-06-01,0.230547
2010-06-02,0.24677099
2010-06-03,0.25317699
2010-06-04,0.228177
2010-06-07,0.214948
2010-06-08,0.21375
2010-06-09,0.20903599
2010-06-10,0.22638001
2010-06-11,0.232292
2010-06-14,0.23242199
2010-06-15,0.249401
2010-06-16,0.25442699
2010-06-17,0.25697899
2010-06-18,0.257682
2010-06-21,0.250911
2010-06-22,0.244974
2010-06-23,0.241693
2010-06-24,0.229974
2010-06-25,0.229818
2010-06-28,0.22776
2010-06-29,0.202344
2010-06-30,0.19234399
2010-07-01,0.190469
2010-07-02,0.189427
2010-07-06,0.19041701
2010-07-07,0.20841099
2010-07-08,0.211927
2010-07-09,0.21786501
2010-07-12,0.220339
2010-07-13,0.227865
2010-07-14,0.23151
2010-07-15,0.232318
2010-07-16,0.21362001
2010-07-19,0.218438
2010-07-20,0.225339
2010-07-21,0.217448
2010-07-22,0.232109
2010-07-23,0.238151
2010-07-26,0.243385
2010-07-27,0.243333
2010-07-28,0.238359
2010-07-29,0.232682
2010-07-30,0.234271
2010-08-02,0.246875
2010-08-03,0.244323
2010-08-04,0.25138
2010-08-05,0.249896
2010-08-06,0.248724
2010-08-09,0.25307301
2010-08-10,0.24770799
2010-08-11,0.227318
2010-08-12,0.220911
2010-08-13,0.21651
2010-08-16,0.21773399
2010-08-17,0.226016
2010-08-18,0.228047
2010-08-19,0.219661
2010-08-20,0.218906
2010-08-23,0.212865
2010-08-24,0.200651
2010-08-25,0.20666701
2010-08-26,0.199922
2010-08-27,0.206536
2010-08-30,0.199844
2010-08-31,0.198854
2010-09-01,0.21552099
2010-09-02,0.22291701
2010-09-03,0.234271
2010-09-07,0.228568
2010-09-08,0.236641
2010-09-09,0.23963501
2010-09-10,0.24221399
2010-09-13,0.252891
2010-09-14,0.25609401
2010-09-15,0.260443
2010-09-16,0.26411501
2010-09-17,0.266927
2010-09-20,0.28083301
2010-09-21,0.279948
2010-09-22,0.27862
2010-09-23,0.27778599
2010-09-24,0.29351601
2010-09-27,0.29015601
2010-09-28,0.290885
2010-09-29,0.288542
2010-09-30,0.28463501
2010-10-01,0.28375
2010-10-04,0.27390599
2010-10-05,0.29429701
2010-10-06,0.28679699
2010-10-07,0.28960899
2010-10-08,0.295443
2010-10-11,0.296042
2010-10-12,0.30218801
2010-10-13,0.309531
2010-10-14,0.30781299
2010-10-15,0.32744801
2010-10-18,0.32744801
2010-10-19,0.31442699
2010-10-20,0.32096401
2010-10-21,0.323203
2010-10-22,0.329505
2010-10-25,0.33450499
2010-10-26,0.33651
2010-10-27,0.33997399
2010-10-28,0.34192699
2010-10-29,0.34028599
2010-11-01,0.341068
2010-11-02,0.35140601
2010-11-03,0.356484
2010-11-04,0.369115
2010-11-05,0.36955699
2010-11-08,0.37049499
2010-11-09,0.36450499
2010-11-10,0.370078
2010-11-11,0.36385399
2010-11-12,0.345339
2010-11-15,0.34164101
2010-11-16,0.32468799
2010-11-17,0.32776001
2010-11-18,0.34299499
2010-11-19,0.34380201
2010-11-22,0.35286501
2010-11-23,0.336198
2010-11-24,0.35583299
2010-11-26,0.35359401
2010-11-29,0.348672
2010-11-30,0.335417
2010-12-01,0.356745
2010-12-02,0.367578
2010-12-03,0.37065101
2010-12-06,0.37
2010-12-07,0.37033901
2010-12-08,0.375469
2010-12-09,0.37585899
2010-12-10,0.38374999
2010-12-13,0.37924501
2010-12-14,0.380833
2010-12-15,0.37695301
2010-12-16,0.38481799
2010-12-17,0.38598999
2010-12-20,0.38703099
2010-12-21,0.39341101
2010-12-22,0.393828
2010-12-23,0.39083299
2010-12-27,0.39098999
2010-12-28,0.38929701
2010-12-29,0.391615
2010-12-30,0.38867199
2010-12-31,0.385104
2011-01-03,0.4025
2011-01-04,0.40187499
2011-01-05,0.41184899
2011-01-06,0.415573
2011-01-07,0.41460899
2011-01-10,0.41927099
2011-01-11,0.42119801
2011-01-12,0.42974001
2011-01-13,0.43109399
2011-01-14,0.44044301
2011-01-18,0.44395801
2011-01-19,0.42908901
2011-01-20,0.419453
2011-01-21,0.40987
2011-01-24,0.426797
2011-01-25,0.42828101
2011-01-26,0.43492201
2011-01-27,0.44330701
2011-01-28,0.40987
2011-01-31,0.41593799
2011-02-01,0.43903601
2011-02-02,0.43705699
2011-02-03,0.43875
2011-02-04,0.44666699
2011-02-07,0.45315099
2011-02-08,0.46281299
2011-02-09,0.46000001
2011-02-10,0.46224001
2011-02-11,0.471719
2011-02-14,0.47468799
2011-02-15,0.47346401
2011-02-16,0.482214
2011-02-17,0.48179701
2011-02-18,0.479063
2011-02-22,0.43687499
2011-02-23,0.426094
2011-02-24,0.432161
2011-02-25,0.45067701
2011-02-28,0.453958
2011-03-01,0.43213499
2011-03-02,0.43822899
2011-03-03,0.46437499
2011-03-04,0.45750001
2011-03-07,0.439271
2011-03-08,0.443854
2011-03-09,0.43489599
2011-03-10,0.41499999
2011-03-11,0.42192701
2011-03-14,0.417813
2011-03-15,0.400729
2011-03-16,0.37130201
2011-03-17,0.38099
2011-03-18,0.37890601
2011-03-21,0.40005201
2011-03-22,0.398958
2011-03-23,0.405
2011-03-24,0.42703101
2011-03-25,0.43015599
2011-03-28,0.422865
2011-03-29,0.435
2011-03-30,0.44140601
2011-03-31,0.44328099
2011-04-01,0.44395801
2011-04-04,0.43994799
2011-04-05,0.434948
2011-04-06,0.43822899
2011-04-07,0.43812501
2011-04-08,0.43156299
2011-04-11,0.42765599
2011-04-12,0.41921899
2011-04-13,0.42921901
2011-04-14,0.426875
2011-04-15,0.424115
2011-04-18,0.41593799
2011-04-19,0.42343801
2011-04-20,0.45161501
2011-04-21,0.46307299
2011-04-25,0.46651
2011-04-26,0.47453099
2011-04-27,0.484375
2011-04-28,0.48364601
2011-04-29,0.48130199
2011-05-02,0.47869799
2011-05-03,0.47150999
2011-05-04,0.46875
2011-05-05,0.46171901
2011-05-06,0.465729
2011-05-09,0.470781
2011-05-10,0.48286501
2011-05-11,0.47244799
2011-05-12,0.48078099
2011-05-13,0.46375
2011-05-16,0.43963501
2011-05-17,0.44322899
2011-05-18,0.45401001
