date,adj_close
2010-02-19,0.222
2010-02-26,0.2209
2010-03-05,0.246
2010-03-12,0.2608
2010-03-19,0.2637
2010-03-26,0.2723
2010-04-01,0.2746
2010-04-09,0.2892
2010-04-16,0.2982
2010-04-23,0.3162
2010-04-30,0.2919
2010-05-07,0.2279
2010-05-14,0.2471
2010-05-21,0.2124
2010-05-28,0.2252
2010-06-04,0.2167
2010-06-11,0.2206
2010-06-18,0.2447
2010-06-25,0.2183
2010-07-02,0.1799
2010-07-09,0.2069
2010-07-16,0.2029
2010-07-23,0.2262
2010-07-30,0.2225
2010-08-06,0.2362
2010-08-13,0.2056
2010-08-20,0.2079
2010-08-27,0.1962
2010-09-03,0.2225
2010-09-10,0.2301
2010-09-17,0.2535
2010-09-24,0.2788
2010-10-01,0.2695
2010-10-08,0.2806
2010-10-15,0.311
2010-10-22,0.313
2010-10-29,0.3232
2010-11-05,0.351
2010-11-12,0.328
2010-11-19,0.3265
2010-11-26,0.3358
2010-12-03,0.352
2010-12-10,0.3645
2010-12-17,0.3666
2010-12-23,0.3712
2010-12-31,0.3658
2011-01-07,0.3938
2011-01-14,0.4183
2011-01-21,0.3893
2011-01-28,0.3893
2011-02-04,0.4242
2011-02-11,0.448
2011-02-18,0.455
2011-02-25,0.4281
2011-03-04,0.4345
2011-03-11,0.4007
2011-03-18,0.3599
2011-03-25,0.4086
2011-04-01,0.4217
2011-04-08,0.4099
2011-04-15,0.4028
2011-04-21,0.4398
2011-04-29,0.4571
2011-05-06,0.4423
2011-05-13,0.4405
2011-05-20,0.4253
2011-05-27,0.4174
2011-06-03,0.3932
2011-06-10,0.3577
2011-06-17,0.3435
2011-06-24,0.3533
2011-07-01,0.4256
2011-07-08,0.4503
2011-07-15,0.423
2011-07-22,0.4619
2011-07-29,0.4248
2011-08-05,0.3356
2011-08-12,0.3211
2011-08-19,0.2591
2011-08-26,0.3069
2011-09-02,0.3089
2011-09-09,0.306
2011-09-16,0.3691
2011-09-23,0.3223
2011-09-30,0.2929
2011-10-07,0.3172
2011-10-14,0.3933
2011-10-21,0.3745
2011-10-28,0.4053
2011-11-04,0.3803
2011-11-11,0.3788
2011-11-18,0.3321
2011-11-25,0.2879
2011-12-02,0.3502
2011-12-09,0.3573
2011-12-16,0.3199
2011-12-23,0.341
2011-12-30,0.3363
2012-01-06,0.3724
2012-01-13,0.3796
2012-01-20,0.4115
2012-01-27,0.4245
2012-02-03,0.4592
2012-02-10,0.4686
2012-02-17,0.4902
2012-02-24,0.5019
2012-03-02,0.5235
2012-03-09,0.526
2012-03-16,0.5659
2012-03-23,0.5769
2012-03-30,0.5918
2012-04-05,0.5958
2012-04-13,0.5545
2012-04-20,0.5404
2012-04-27,0.5784
2012-05-04,0.5148
2012-05-11,0.5013
2012-05-18,0.4258
2012-05-25,0.4516
2012-06-01,0.4151
2012-06-08,0.4675
2012-06-15,0.472
2012-06-22,0.4788
2012-06-29,0.4947
2012-07-06,0.4921
2012-07-13,0.4751
2012-07-20,0.4947
2012-07-27,0.5087
2012-08-03,0.524
2012-08-10,0.555
2012-08-17,0.5913
2012-08-24,0.5903
2012-08-31,0.5874
2012-09-07,0.6181
2012-09-14,0.6377
2012-09-21,0.6428
2012-09-28,0.6
2012-10-05,0.6091
2012-10-12,0.5506
2012-10-19,0.5235
2012-10-26,0.5162
2012-11-02,0.5083
2012-11-09,0.4687
2012-11-16,0.4437
2012-11-23,0.5011
2012-11-30,0.5223
2012-12-07,0.5009
2012-12-14,0.4951
2012-12-21,0.5144
2012-12-28,0.4808
2013-01-04,0.5464
2013-01-11,0.5612
2013-01-18,0.5572
2013-01-25,0.554
2013-02-01,0.5695
2013-02-08,0.5774
2013-02-15,0.571
2013-02-22,0.5545
2013-03-01,0.5604
2013-03-08,0.5946
2013-03-15,0.5919
2013-03-22,0.5935
2013-03-28,0.6031
2013-04-05,0.5746
2013-04-12,0.628
2013-04-19,0.5764
2013-04-26,0.6148
2013-05-03,0.6829
2013-05-10,0.7102
2013-05-17,0.7466
2013-05-24,0.7195
2013-05-31,0.714
2013-06-07,0.7174
2013-06-14,0.6846
2013-06-21,0.6371
2013-06-28,0.6567
2013-07-05,0.6952
2013-07-12,0.7753
2013-07-19,0.7544
2013-07-26,0.7762
2013-08-02,0.8266
2013-08-09,0.811
2013-08-16,0.7765
2013-08-23,0.8151
2013-08-30,0.7757
2013-09-06,0.8207
2013-09-13,0.857
2013-09-20,0.8943
2013-09-27,0.897
2013-10-04,0.9073
2013-10-11,0.8978
2013-10-18,0.9998
2013-10-25,1.0252
2013-11-01,1.0218
2013-11-08,1.0106
2013-11-15,1.0624
2013-11-22,1.0633
2013-11-29,1.128
2013-12-06,1.1402
2013-12-13,1.0944
2013-12-20,1.1683
2013-12-27,1.2106
2014-01-03,1.1731
2014-01-10,1.1991
2014-01-17,1.2202
2014-01-24,1.1702
2014-01-31,1.1498
2014-02-07,1.1859
2014-02-14,1.2909
2014-02-21,1.2943
2014-02-28,1.3269
2014-03-07,1.3366
2014-03-14,1.2545
2014-03-21,1.2741
2014-03-28,1.1922
2014-04-04,1.1613
2014-04-11,1.0663
2014-04-17,1.1445
2014-04-25,1.1429
2014-05-02,1.196
2014-05-09,1.1651
2014-05-16,1.2003
2014-05-23,1.2905
2014-05-30,1.3521
2014-06-06,1.419
2014-06-13,1.3946
2014-06-20,1.4269
2014-06-27,1.4691
2014-07-03,1.565
2014-07-11,1.5417
2014-07-18,1.5811
2014-07-25,1.611
2014-08-01,1.5075
2014-08-08,1.517
2014-08-15,1.6375
2014-08-22,1.7224
2014-08-29,1.761
2014-09-05,1.7665
2014-09-12,1.7432
2014-09-19,1.7786
2014-09-26,1.7115
2014-10-03,1.6784
2014-10-10,1.4845
2014-10-17,1.4192
2014-10-24,1.681
2014-10-31,1.8247
2014-11-07,1.8348
2014-11-14,1.9233
2014-11-21,1.9628
2014-11-28,2.0855
2014-12-05,2.0438
2014-12-12,1.8868
2014-12-19,1.9892
2014-12-26,2.0328
2015-01-02,1.9131
2015-01-09,1.887
2015-01-16,1.7894
2015-01-23,1.9735
2015-01-30,1.7949
2015-02-06,1.9022
2015-02-13,2.1152
2015-02-20,2.2037
2015-02-27,2.2031
2015-03-06,2.1387
2015-03-13,2.016
2015-03-20,2.2211
2015-03-27,2.0309
2015-04-02,2.0077
2015-04-10,2.1597
2015-04-17,2.0546
2015-04-24,2.3233
2015-05-01,2.2306
2015-05-08,2.2005
2015-05-15,2.2548
2015-05-22,2.3092
2015-05-29,2.2801
2015-06-05,2.232
2015-06-12,2.1934
2015-06-19,2.273
2015-06-26,2.2403
2015-07-02,2.157
2015-07-10,2.1306
2015-07-17,2.4941
2015-07-24,2.3351
2015-07-31,2.3868
2015-08-07,2.2801
2015-08-14,2.2892
2015-08-21,1.8197
2015-08-28,1.9513
2015-09-04,1.7561
2015-09-11,1.9283
2015-09-18,1.9311
2015-09-25,1.7983
2015-10-02,1.841
2015-10-09,1.9752
2015-10-16,2.0649
2015-10-23,2.3336
2015-10-30,2.3686
2015-11-06,2.4601
2015-11-13,2.1508
2015-11-20,2.428
2015-11-27,2.4149
2015-12-04,2.4604
2015-12-11,2.189
2015-12-18,2.1526
2015-12-24,2.3054
2015-12-31,2.2613
2016-01-08,1.8092
2016-01-15,1.6332
2016-01-22,1.7717
2016-01-29,1.7834
2016-02-05,1.4829
2016-02-12,1.4722
2016-02-19,1.6385
2016-02-26,1.7213
2016-03-04,1.8309
2016-03-11,1.8682
2016-03-18,1.9313
2016-03-24,1.9242
2016-04-01,2.0946
2016-04-08,2.0137
2016-04-15,2.1033
2016-04-22,2.0081
2016-04-29,1.8333
2016-05-06,1.8204
2016-05-13,1.8129
2016-05-20,1.8624
2016-05-27,2.0564
2016-06-03,2.0527
2016-06-10,1.9907
2016-06-17,1.8707
2016-06-24,1.7476
2016-07-01,1.9329
