date,close,adj_close
1999-11-12,144.4,60.9149
1999-11-19,151.6,63.9523
1999-11-26,155.4,65.5553
1999-12-03,158.3,66.7786
1999-12-10,159.8,67.4114
1999-12-17,167.56,70.685
1999-12-23,180.4,76.1015
1999-12-31,182.8,77.1139
2000-01-07,180.0,75.9328
2000-01-14,186.8,78.8013
2000-01-21,192.5,81.2059
2000-01-28,172.0,72.558
2000-02-04,194.3,81.9652
2000-02-11,199.8,84.2854
2000-02-18,196.9,83.062
2000-02-25,208.1,87.7867
2000-03-03,222.1,93.6926
2000-03-10,229.0,96.6033
2000-03-17,221.6,93.4817
2000-03-24,117.56,99.185
2000-03-31,109.5,92.3848
2000-04-07,106.6,89.9381
2000-04-14,80.38,67.8164
2000-04-20,87.25,73.6126
2000-04-28,94.75,79.9403
2000-05-05,91.44,77.1477
2000-05-12,84.63,71.4021
2000-05-19,81.69,68.9216
2000-05-26,77.75,65.5975
2000-06-02,93.63,78.9954
2000-06-09,93.75,79.0966
2000-06-16,94.25,79.5185
2000-06-23,91.5,77.1983
2000-06-30,93.44,78.8351
2000-07-07,95.94,80.9443
2000-07-14,100.6,84.8759
2000-07-21,97.0,81.8386
2000-07-28,86.88,73.3004
2000-08-04,90.13,76.0424
2000-08-11,91.06,76.8271
2000-08-18,95.25,80.3622
2000-08-25,98.03,82.7076
2000-09-01,102.6,86.5633
2000-09-08,95.13,80.2609
2000-09-15,91.25,76.9874
2000-09-22,92.94,78.4132
2000-09-29,88.75,74.8781
2000-10-06,83.0,70.0269
2000-10-13,81.25,68.5504
2000-10-20,86.31,72.8195
2000-10-27,79.72,67.2595
2000-11-03,83.06,70.0775
2000-11-10,71.75,60.5353
2000-11-17,72.83,61.4465
2000-11-24,70.44,59.43
2000-12-01,64.0,53.9966
2000-12-08,68.0,57.3714
2000-12-15,63.88,53.8954
2000-12-22,60.5,51.0437
2000-12-29,58.38,49.255
2001-01-05,56.63,47.7786
2001-01-12,62.73,52.9251
2001-01-19,66.31,55.9456
2001-01-26,65.55,55.3044
2001-02-02,61.55,51.9296
2001-02-09,56.4,47.5845
2001-02-16,55.13,46.513
2001-02-23,51.18,43.1804
2001-03-02,46.7,39.4007
2001-03-09,45.1,38.0507
2001-03-16,41.2,34.7603
2001-03-23,42.8,36.1102
2001-03-30,39.15,33.0307
2001-04-06,36.3,30.6262
2001-04-12,42.8,36.1102
2001-04-20,48.4,40.8349
2001-04-27,45.15,38.0929
2001-05-04,48.2,40.6662
2001-05-11,45.55,38.4304
2001-05-18,48.04,40.5312
2001-05-25,48.99,41.3327
2001-06-01,46.05,38.8523
2001-06-08,47.35,39.9491
2001-06-15,42.6,35.9415
2001-06-22,43.25,36.4899
2001-06-29,45.7,38.557
2001-07-06,41.65,35.14
2001-07-13,43.15,36.4055
2001-07-20,41.65,35.14
2001-07-27,41.95,35.3931
2001-08-03,43.18,36.4308
2001-08-10,40.28,33.9841
2001-08-17,37.76,31.858
2001-08-24,39.3,33.1573
2001-08-31,36.17,30.5165
2001-09-07,33.7,28.4326
2001-09-10,34.1,28.7701
2001-09-21,28.19,23.7838
2001-09-28,28.98,24.4503
2001-10-05,31.76,26.7958
2001-10-12,34.55,29.1497
2001-10-19,33.55,28.306
2001-10-26,36.01,30.3815
2001-11-02,35.6,30.0356
2001-11-09,37.73,31.8327
2001-11-16,39.37,33.2164
2001-11-23,39.28,33.1404
2001-11-30,39.65,33.4526
2001-12-07,41.73,35.2075
2001-12-14,40.11,33.8407
2001-12-21,39.48,33.3092
2001-12-28,40.33,34.0263
2002-01-04,41.67,35.1569
2002-01-11,40.85,34.465
2002-01-18,38.59,32.5583
2002-01-25,38.83,32.7608
2002-02-01,38.14,32.1786
2002-02-08,36.17,30.5165
2002-02-15,35.78,30.1875
2002-02-22,33.65,28.3904
2002-03-01,35.74,30.1537
2002-03-08,38.67,32.6258
2002-03-15,37.23,31.4108
2002-03-22,36.68,30.9468
2002-03-28,36.06,30.4237
2002-04-05,34.37,28.9979
2002-04-12,33.52,28.2807
2002-04-19,34.46,29.0738
2002-04-26,31.04,26.1884
2002-05-03,29.74,25.0916
2002-05-10,29.56,24.9397
2002-05-17,32.93,27.783
2002-05-24,31.24,26.3571
2002-05-31,30.04,25.3447
2002-06-07,28.3,23.8766
2002-06-14,27.62,23.3029
2002-06-21,25.82,21.7843
2002-06-28,26.1,22.0205
2002-07-05,26.34,22.223
2002-07-12,24.8,20.9237
2002-07-19,23.99,20.2403
2002-07-26,22.67,19.1266
