date,ffr_pct
1998-01-07,5.74
1998-01-14,5.45
1998-01-21,5.53
1998-01-28,5.53
1998-02-04,5.52
1998-02-11,5.43
1998-02-18,5.54
1998-02-25,5.51
1998-03-04,5.6
1998-03-11,5.45
1998-03-18,5.47
1998-03-25,5.43
1998-04-01,5.6
1998-04-08,5.48
1998-04-15,5.47
1998-04-22,5.37
1998-04-29,5.4
1998-05-06,5.35
1998-05-13,5.49
1998-05-20,5.6
1998-05-27,5.45
1998-06-03,5.63
1998-06-10,5.43
1998-06-17,5.58
1998-06-24,5.42
1998-07-01,5.88
1998-07-08,5.47
1998-07-15,5.49
1998-07-22,5.5
1998-07-29,5.54
1998-08-05,5.61
1998-08-12,5.5
1998-08-19,5.59
1998-08-26,5.48
1998-09-02,5.61
1998-09-09,5.47
1998-09-16,5.54
1998-09-23,5.42
1998-09-30,5.58
1998-10-07,5.22
1998-10-14,5.14
1998-10-21,4.87
1998-10-28,4.95
1998-11-04,5.22
1998-11-11,4.8
1998-11-18,4.89
1998-11-25,4.54
1998-12-02,4.86
1998-12-09,4.68
1998-12-16,4.97
1998-12-23,4.69
1998-12-30,4.48
1999-01-06,4.3
1999-01-13,4.75
1999-01-20,4.64
1999-01-27,4.66
1999-02-03,4.75
1999-02-10,4.77
1999-02-17,4.75
1999-02-24,4.75
1999-03-03,4.85
1999-03-10,4.8
1999-03-17,4.79
1999-03-24,4.79
1999-03-31,4.84
1999-04-07,4.8
1999-04-14,4.68
1999-04-21,4.61
1999-04-28,4.79
1999-05-05,4.9
1999-05-12,4.7
1999-05-19,4.76
1999-05-26,4.73
1999-06-02,4.65
1999-06-09,4.71
1999-06-16,4.73
1999-06-23,4.71
1999-06-30,4.95
1999-07-07,5.0
1999-07-14,4.97
1999-07-21,4.96
1999-07-28,5.01
1999-08-04,5.06
1999-08-11,4.96
1999-08-18,5.03
1999-08-25,5.02
1999-09-01,5.34
1999-09-08,5.16
1999-09-15,5.24
1999-09-22,5.16
1999-09-29,5.27
1999-10-06,5.27
1999-10-13,5.17
1999-10-20,5.18
1999-10-27,5.18
1999-11-03,5.27
1999-11-10,5.2
1999-11-17,5.44
1999-11-24,5.52
1999-12-01,5.63
1999-12-08,5.45
1999-12-15,5.44
1999-12-22,5.46
1999-12-29,5.01
2000-01-05,4.72
2000-01-12,5.62
2000-01-19,5.59
2000-01-26,5.43
2000-02-02,5.66
2000-02-09,5.71
2000-02-16,5.75
2000-02-23,5.72
2000-03-01,5.77
2000-03-08,5.73
2000-03-15,5.79
2000-03-22,5.81
2000-03-29,6.01
2000-04-05,6.12
2000-04-12,5.98
2000-04-19,6.04
2000-04-26,5.97
2000-05-03,6.06
2000-05-10,5.96
2000-05-17,6.16
2000-05-24,6.5
2000-05-31,6.53
2000-06-07,6.49
2000-06-14,6.5
2000-06-21,6.51
2000-06-28,6.53
2000-07-05,6.85
2000-07-12,6.44
2000-07-19,6.5
2000-07-26,6.5
2000-08-02,6.49
2000-08-09,6.45
2000-08-16,6.53
2000-08-23,6.46
2000-08-30,6.54
2000-09-06,6.56
2000-09-13,6.5
2000-09-20,6.5
2000-09-27,6.5
2000-10-04,6.58
2000-10-11,6.47
2000-10-18,6.49
2000-10-25,6.51
2000-11-01,6.55
2000-11-08,6.49
2000-11-15,6.52
2000-11-22,6.51
2000-11-29,6.5
2000-12-06,6.57
2000-12-13,6.47
2000-12-20,6.53
2000-12-27,6.48
2001-01-03,5.88
2001-01-10,5.91
2001-01-17,6.02
2001-01-24,5.96
2001-01-31,5.94
2001-02-07,5.51
2001-02-14,5.47
2001-02-21,5.5
2001-02-28,5.5
2001-03-07,5.49
2001-03-14,5.46
2001-03-21,5.33
2001-03-28,5.0
2001-04-04,5.21
2001-04-11,4.96
2001-04-18,4.98
2001-04-25,4.42
2001-05-02,4.53
2001-05-09,4.43
2001-05-16,4.37
2001-05-23,3.98
2001-05-30,3.98
2001-06-06,4.08
2001-06-13,4.0
2001-06-20,3.95
2001-06-27,3.91
2001-07-04,3.89
2001-07-11,3.67
2001-07-18,3.76
2001-07-25,3.81
2001-08-01,3.79
2001-08-08,3.7
2001-08-15,3.75
2001-08-22,3.63
2001-08-29,3.52
2001-09-05,3.63
2001-09-12,3.49
2001-09-19,2.47
2001-09-26,2.99
2001-10-03,2.71
2001-10-10,2.44
2001-10-17,2.44
2001-10-24,2.49
2001-10-31,2.55
2001-11-07,2.36
2001-11-14,2.03
2001-11-21,2.01
2001-11-28,1.95
2001-12-05,2.02
2001-12-12,1.88
2001-12-19,1.84
2001-12-26,1.77
2002-01-02,1.63
2002-01-09,1.64
2002-01-16,1.74
2002-01-23,1.74
2002-01-30,1.78
2002-02-06,1.74
2002-02-13,1.72
2002-02-20,1.75
2002-02-27,1.75
2002-03-06,1.74
2002-03-13,1.71
2002-03-20,1.76
2002-03-27,1.7
2002-04-03,1.77
2002-04-10,1.71
2002-04-17,1.78
2002-04-24,1.7
2002-05-01,1.81
2002-05-08,1.74
2002-05-15,1.75
2002-05-22,1.71
2002-05-29,1.78
2002-06-05,1.78
2002-06-12,1.74
2002-06-19,1.75
2002-06-26,1.75
2002-07-03,1.75
2002-07-10,1.73
2002-07-17,1.74
2002-07-24,1.72
2002-07-31,1.72
2002-08-07,1.74
2002-08-14,1.72
2002-08-21,1.73
2002-08-28,1.76
2002-09-04,1.81
2002-09-11,1.73
2002-09-18,1.73
2002-09-25,1.72
2002-10-02,1.8
2002-10-09,1.73
2002-10-16,1.75
2002-10-23,1.72
2002-10-30,1.79
2002-11-06,1.7
2002-11-13,1.21
2002-11-20,1.28
2002-11-27,1.27
2002-12-04,1.24
2002-12-11,1.23
2002-12-18,1.27
2002-12-25,1.23
2003-01-01,1.2
2003-01-08,1.2
2003-01-15,1.26
2003-01-22,1.23
2003-01-29,1.24
2003-02-05,1.29
2003-02-12,1.22
2003-02-19,1.3
2003-02-26,1.24
2003-03-05,1.29
2003-03-12,1.21
2003-03-19,1.27
2003-03-26,1.22
2003-04-02,1.28
2003-04-09,1.23
2003-04-16,1.27
2003-04-23,1.26
2003-04-30,1.28
2003-05-07,1.26
2003-05-14,1.25
2003-05-21,1.27
2003-05-28,1.24
2003-06-04,1.26
2003-06-11,1.24
2003-06-18,1.25
2003-06-25,1.21
2003-07-02,1.13
2003-07-09,0.96
2003-07-16,1.02
2003-07-23,1.01
2003-07-30,1.04
2003-08-06,0.97
2003-08-13,0.98
2003-08-20,1.18
2003-08-27,1.0
2003-09-03,1.01
2003-09-10,0.96
2003-09-17,1.02
2003-09-24,1.0
2003-10-01,1.07
2003-10-08,0.99
2003-10-15,1.03
2003-10-22,1.0
2003-10-29,1.0
2003-11-05,1.01
2003-11-12,0.99
2003-11-19,0.99
2003-11-26,0.99
2003-12-03,1.0
2003-12-10,0.98
2003-12-17,1.0
2003-12-24,0.99
2003-12-31,0.96
2004-01-07,0.97
2004-01-14,0.99
2004-01-21,1.0
2004-01-28,1.02
2004-02-04,1.01
2004-02-11,1.0
2004-02-18,1.01
2004-02-25,1.0
2004-03-03,1.03
2004-03-10,1.0
2004-03-17,1.0
2004-03-24,0.99
2004-03-31,1.01
2004-04-07,1.01
2004-04-14,1.01
2004-04-21,1.0
2004-04-28,1.0
2004-05-05,1.02
2004-05-12,0.99
2004-05-19,1.02
2004-05-26,0.99
2004-06-02,1.01
2004-06-09,0.99
2004-06-16,1.01
2004-06-23,1.0
2004-06-30,1.11
2004-07-07,1.28
2004-07-14,1.25
2004-07-21,1.25
2004-07-28,1.26
2004-08-04,1.27
2004-08-11,1.36
2004-08-18,1.42
2004-08-25,1.51
2004-09-01,1.53
2004-09-08,1.5
2004-09-15,1.49
2004-09-22,1.64
2004-09-29,1.76
2004-10-06,1.82
2004-10-13,1.73
2004-10-20,1.76
2004-10-27,1.74
2004-11-03,1.78
2004-11-10,1.79
2004-11-17,2.0
2004-11-24,2.0
2004-12-01,2.02
2004-12-08,2.0
2004-12-15,2.15
2004-12-22,2.24
2004-12-29,2.27
2005-01-05,2.14
2005-01-12,2.25
2005-01-19,2.28
2005-01-26,2.27
2005-02-02,2.43
2005-02-09,2.5
2005-02-16,2.5
2005-02-23,2.52
2005-03-02,2.51
2005-03-09,2.5
2005-03-16,2.55
2005-03-23,2.71
2005-03-30,2.77
2005-04-06,2.81
2005-04-13,2.76
2005-04-20,2.78
2005-04-27,2.74
2005-05-04,2.96
2005-05-11,2.99
2005-05-18,3.01
2005-05-25,3.01
2005-06-01,3.02
2005-06-08,2.98
2005-06-15,3.02
2005-06-22,2.98
2005-06-29,3.11
2005-07-06,3.29
2005-07-13,3.22
2005-07-20,3.26
2005-07-27,3.26
2005-08-03,3.29
2005-08-10,3.48
2005-08-17,3.54
