date,split_adj_close,adj_close,factor
2010-02-19,0.233750,0.222000,0.9497326203
2010-02-26,0.232526,0.220900,0.9500012902
2010-03-05,0.258984,0.246000,0.9498656288
2010-03-12,0.274583,0.260800,0.9498038498
2010-03-19,0.277656,0.263700,0.9497363986
2010-03-26,0.286667,0.272300,0.9498826496
2010-04-01,0.289115,0.274600,0.9497950314
2010-04-09,0.304505,0.289200,0.9497381307
2010-04-16,0.313984,0.298200,0.9497298923
2010-04-23,0.332865,0.316200,0.9499346582
2010-04-30,0.307344,0.291900,0.9497501480
2010-05-07,0.239896,0.227900,0.9499949978
2010-05-14,0.260156,0.247100,0.9498146900
2010-05-21,0.223646,0.212400,0.9497151749
2010-05-28,0.237109,0.225200,0.9497741144
2010-06-04,0.228177,0.216700,0.9497013284
2010-06-11,0.232292,0.220600,0.9496667987
2010-06-18,0.257682,0.244700,0.9496200744
2010-06-25,0.229818,0.218300,0.9498820806
2010-07-02,0.189427,0.179900,0.9497062193
2010-07-09,0.217865,0.206900,0.9496706240
2010-07-16,0.213620,0.202900,0.9498173884
2010-07-23,0.238151,0.226200,0.9498175527
2010-07-30,0.234271,0.222500,0.9497547712
2010-08-06,0.248724,0.236200,0.9496469983
2010-08-13,0.216510,0.205600,0.9496097178
2010-08-20,0.218906,0.207900,0.9497227120
2010-08-27,0.206536,0.196200,0.9499554557
2010-09-03,0.234271,0.222500,0.9497547712
2010-09-10,0.242214,0.230100,0.9499864149
2010-09-17,0.266927,0.253500,0.9496978575
2010-09-24,0.293516,0.278800,0.9498630075
2010-10-01,0.283750,0.269500,0.9497797357
2010-10-08,0.295443,0.280600,0.9497601906
2010-10-15,0.327448,0.311000,0.9497690946
2010-10-22,0.329505,0.313000,0.9499097131
2010-10-29,0.340286,0.323200,0.9497893228
2010-11-05,0.369557,0.351000,0.9497858504
2010-11-12,0.345339,0.328000,0.9497913644
2010-11-19,0.343802,0.326500,0.9496744943
2010-11-26,0.353594,0.335800,0.9496767211
2010-12-03,0.370651,0.352000,0.9496804015
2010-12-10,0.383750,0.364500,0.9498371583
2010-12-17,0.385990,0.366600,0.9497655626
2010-12-23,0.390833,0.371200,0.9497662928
2010-12-31,0.385104,0.365800,0.9498732810
2011-01-07,0.414609,0.393800,0.9498105673
2011-01-14,0.440443,0.418300,0.9497255956
